State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Television,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Total_Power_Parity
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,1012956,1125478,83350,41371,824116,609377,214739,1509592,742483,262526,424,1118,193,511167,32653,83940,306288,566191,872479,204713,487016,491844,540383,308670,217203,40277,2290106,279352,2569458,1187177,741984,588081,423337,507341,28563,19717,54436,74153,87111,330674,149708,93855,101710,36672,39088,350621,72201,15978,20104,3317,809,100283,4432
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,516476,521016,53283,48857,462998,325095,137903,729987,486913,87454,151,362,130,237670,10378,32484,251641,166164,417805,115476,268084,230416,238900,122657,76192,16585,1068310,212905,1281215,688763,369883,246975,179664,240351,22502,8292,22720,31012,39574,157758,68195,49989,58340,20652,31854,179252,33751,8442,10603,1776,385,44156,1988
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,1074345,1165928,328263,10761,912025,644362,267663,1697635,508500,421598,208,272,63,630767,31542,83133,523715,401415,925130,172247,406592,562529,595191,307950,233402,64052,2341963,231286,2573249,1177359,795245,660965,525754,597009,51410,26711,76792,103503,132475,466519,221052,112992,83769,9485,30236,455971,83293,9101,9925,765,59,114087,3910
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,861592,888206,153909,21972,735735,530322,205413,983598,126499,858608,204,358,83,464039,37849,83999,481967,196194,678161,117681,271496,373998,475724,280720,221350,52339,1793308,134393,1927701,811653,596302,565048,406922,434540,37276,15538,54557,70095,84509,330354,150425,95420,74003,6001,58162,346188,72827,5858,6177,298,21,55261,3071
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,1266939,1348504,199191,15228,948981,752333,196648,1734958,1211131,131516,297,235,601,641660,36791,107602,323793,666543,990336,247996,564392,647221,630818,351267,250117,53166,2744977,335520,3080497,1487644,909581,686109,490719,638772,35910,20408,63700,84108,114136,444561,198560,131865,122779,32377,55550,459312,102483,21702,25527,3332,493,96503,4594
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,1597404,1713911,308266,22990,1062424,898157,164267,1135259,2888849,81556,205,179,68,730119,27909,119918,634543,522586,1157129,415601,770417,814285,933793,392867,203779,41344,3572086,622345,4194431,2406005,1041361,662311,485406,719609,47021,19178,49957,69135,92845,425449,169215,163389,200802,79209,50719,482615,124797,40822,51784,9238,1724,115399,4838
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,1122600,1116892,403833,48972,1042340,746121,296219,1875980,812936,114397,220,238,78,587583,27162,69440,665899,228442,894341,249198,492864,608176,572412,232109,180540,36370,2371669,439934,2811603,1395222,802611,608966,447169,575878,39417,27077,62135,89212,98388,394623,174911,121324,112468,31984,53441,419607,85777,19925,24296,3683,688,98607,3929
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,1354857,1430551,372977,26759,1231669,864101,367568,2194057,452915,630573,404,301,76,783872,71621,155321,559293,609824,1169117,206328,460690,642470,682156,389161,381782,76129,2838716,309042,3147758,1488441,989238,820024,658734,727418,83983,41529,99737,141266,156362,568815,271600,140853,103948,14745,47323,579574,96518,12243,13652,1224,185,139030,5770
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,1282261,1396287,324350,9430,1095727,789511,306216,1823442,532839,757484,259,278,62,721625,56148,132774,336748,715119,1051867,222627,445696,524387,821831,362657,338600,71535,2787333,307665,3094998,1394214,931841,792182,616644,683102,48702,28012,86762,114774,138655,499304,228326,132323,107091,22661,34523,508265,98284,16971,19542,2261,310,117739,5612
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,328136,317449,32578,151443,340077,228639,111438,404460,234185,174453,61,312,1797,149864,4712,15944,266183,11805,277988,65326,144896,137227,184266,87042,51111,8786,678654,131211,809865,412806,246590,157326,109972,166448,12409,6132,17127,23259,29933,125105,57494,37678,32026,5013,29882,131870,25844,3484,3879,357,38,23810,1095
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,254120,182475,74385,358543,346471,207401,139070,686524,21473,2132,606,86,1653,81338,1290,7266,147388,60325,207713,113208,115716,93450,58536,42743,31646,3066,458365,271733,730098,444954,193520,109813,41067,146164,16275,10691,22868,33559,23690,90782,34331,32761,39257,5221,53187,119931,22871,3237,3817,492,88,22200,787
